"creation_date","count","cumulative_count"
2020-10-09,1,1
2020-12-16,1,2
2021-01-25,1,3
2021-02-02,1,4
2021-02-21,1,5
2021-03-07,1,6
2021-03-10,1,7
2021-03-14,1,8
2021-03-22,1,9
2021-03-25,1,10
2021-04-07,1,11
2021-04-26,2,13
2021-04-27,1,14
2021-05-03,1,15
2021-05-04,1,16
2021-05-07,1,17
2021-05-08,1,18
2021-05-11,2,20
2021-05-12,1,21
2021-05-22,1,22
2021-05-26,2,24
2021-06-02,2,26
2021-06-12,4,30
2021-06-20,3,33
2021-06-25,1,34
2021-06-27,2,36
2021-07-01,2,38
2021-07-02,1,39
2021-07-08,4,43
2021-07-09,1,44
2021-07-12,1,45
2021-07-14,6,51
2021-07-15,1,52
2021-07-16,1,53
2021-07-21,11,64
2021-07-28,3,67
2021-08-04,2,69
2021-08-05,4,73
2021-08-11,5,78
2021-08-22,5,83
2021-09-01,6,89
2021-09-10,1,90
2021-09-11,5,95
2021-09-16,1,96
2021-09-21,1,97
2021-09-29,4,101
2021-10-06,5,106
2021-10-13,4,110
2021-10-20,3,113
2021-10-21,2,115
2021-10-29,4,119
2021-11-03,1,120
2021-11-17,4,124
2021-11-29,1,125
2021-11-30,2,127
2021-12-04,1,128
2021-12-09,2,130
2021-12-15,1,131
2021-12-20,1,132
2022-01-30,1,133
2022-02-08,3,136
2022-02-19,2,138
2022-03-01,1,139
2022-03-07,1,140
2022-03-08,1,141
2022-03-21,1,142
2022-04-04,2,144
2022-04-15,2,146
2022-04-30,1,147
2022-05-02,1,148
2022-05-12,3,151
2022-05-13,1,152
2022-05-14,2,154
2022-05-26,1,155
2022-06-01,2,157
2022-06-05,2,159
2022-06-14,2,161
2022-06-26,3,164
2022-07-07,4,168
2022-07-25,2,170
2022-07-28,1,171
2022-07-29,4,175
2022-08-14,3,178
2022-08-29,3,181
2022-09-05,3,184
2022-09-20,3,187
2022-09-22,1,188
2022-09-24,1,189
2022-09-28,2,191
2022-10-10,2,193
2022-10-17,1,194
2022-10-18,4,198
2022-10-26,2,200
2022-11-01,2,202
2022-11-13,3,205
2022-11-30,1,206
2022-12-07,5,211
2022-12-15,4,215
2022-12-22,1,216
2023-01-08,2,218
2023-01-25,1,219
2023-02-06,3,222
2023-02-27,4,226
2023-03-26,6,232
2023-04-10,1,233
2023-04-14,1,234
2023-04-27,2,236
2023-05-07,3,239
2023-05-23,1,240
2023-06-01,1,241
2023-06-20,1,242
2023-07-19,4,246
2023-07-31,2,248
2023-08-21,6,254
2023-08-29,1,255
2023-09-18,5,260
2023-10-01,2,262
2023-10-12,1,263
2023-10-22,5,268
2023-11-15,4,272
2023-12-14,2,274
2023-12-16,1,275
2024-01-04,2,277
2024-01-08,1,278
2024-02-05,4,282
2024-03-19,5,287
2024-05-17,4,291
2024-06-01,1,292
2024-06-04,1,293
2024-06-24,5,298
2024-07-25,5,303
2024-07-27,4,307
