"state","county_names","county_fips","year","count"
"AK","Anchorage Borough","02020",2021,1
"AR","Benton County","05007",2022,1
"AR","Faulkner County","05045",2022,2
"AR","Washington County","05143",2022,1
"AR","Washington County","05143",2023,2
"CA","Los Angeles County","06037",2022,1
"CO","Arapahoe County","08005",2022,3
"CO","El Paso County","08041",2023,3
"CO","Weld County","08123",2023,2
"FL","Bay County","12005",2023,2
"FL","Brevard County","12009",2021,1
"FL","Brevard County","12009",2022,43
"FL","Brevard County","12009",2023,149
"FL","Broward County","12011",2022,16
"FL","Broward County","12011",2023,1
"FL","Clay County","12019",2021,1
"FL","Clay County","12019",2022,64
"FL","Clay County","12019",2023,339
"FL","Collier County","12021",2023,23
"FL","Duval County","12031",2022,176
"FL","Duval County","12031",2023,24
"FL","Escambia County","12033",2022,145
"FL","Escambia County","12033",2023,60
"FL","Flagler County","12035",2021,4
"FL","Flagler County","12035",2022,13
"FL","Flagler County","12035",2023,8
"FL","Gilchrist County","12041",2023,9
"FL","Hamilton County","12047",2023,19
"FL","Hernando County","12053",2021,5
"FL","Hernando County","12053",2022,13
"FL","Hernando County","12053",2023,4
"FL","Highlands County","12055",2022,17
"FL","Highlands County","12055",2023,3
"FL","Hillsborough County","12057",2023,1
"FL","Indian River County","12061",2021,161
"FL","Indian River County","12061",2023,4
"FL","Jackson County","12063",2022,14
"FL","Lake County","12069",2022,13
"FL","Lee County","12071",2022,30
"FL","Manatee County","12081",2022,31
"FL","Manatee County","12081",2023,13
"FL","Marion County","12083",2023,62
"FL","Martin County","12085",2022,1
"FL","Martin County","12085",2023,121
"FL","Miami-Dade County","12086",2023,8
"FL","Okaloosa County","12091",2023,21
"FL","Orange County","12095",2021,4
"FL","Orange County","12095",2023,9
"FL","Osceola County","12097",2022,5
"FL","Osceola County","12097",2023,26
"FL","Palm Beach County","12099",2022,26
"FL","Pinellas County","12103",2021,1
"FL","Pinellas County","12103",2023,1
"FL","Polk County","12105",2022,16
"FL","Santa Rosa County","12113",2022,9
"FL","Santa Rosa County","12113",2023,15
"FL","Sarasota County","12115",2021,1
"FL","Sarasota County","12115",2022,2
"FL","Sarasota County","12115",2023,2
"FL","Seminole County","12117",2022,11
"FL","St. Johns County","12109",2022,6
"FL","St. Johns County","12109",2023,31
"FL","St. Lucie County","12111",2021,8
"FL","St. Lucie County","12111",2022,15
"FL","St. Lucie County","12111",2023,1
"FL","Volusia County","12127",2021,1
"FL","Volusia County","12127",2022,6
"FL","Volusia County","12127",2023,87
"FL","Wakulla County","12129",2023,1
"FL","Walton County","12131",2022,58
"GA","Bartow County","13015",2022,10
